iter	RMSE
0	86224.27769
1	81569.84628
2	77522.30777
3	73886.63567
4	70595.14546
5	67769.67838
6	65257.34478
7	62955.07717
8	60921.7958
9	59181.96345
10	57557.55962
11	56214.8701
12	54964.40517
13	53923.44555
14	52984.84777
15	52168.47619
16	51361.41991
17	50678.10591
18	50012.95554
19	49338.81649
20	48818.85722
21	48393.98052
22	47998.71004
23	47454.08468
24	47005.53417
25	46621.06689
26	46336.78141
27	46122.02832
28	45766.27056
29	45514.27603
30	45279.17794
31	45095.82009
32	44801.47646
33	44678.67421
34	44525.68569
35	44284.94081
36	44138.56679
37	43983.40413
38	43769.8443
39	43557.63647
40	43454.09153
41	43370.53672
42	43295.64562
43	43123.52351
44	42940.45097
45	42813.7079
46	42664.1886
47	42622.12361
48	42520.9483
49	42482.50993
50	42343.85684
51	42191.21504
52	42040.11356
53	41861.76598
54	41747.49954
55	41688.08692
56	41574.53053
57	41543.73366
58	41514.09334
59	41380.93206
60	41271.68469
61	41163.80244
62	41136.41554
63	41031.2753
64	40958.94477
65	40858.25652
66	40766.97005
67	40671.52738
68	40646.41379
69	40561.80338
70	40489.8369
71	40403.97201
72	40369.03142
73	40301.89937
74	40246.63778
75	40155.4225
76	40075.18602
77	39988.3252
78	39914.39278
79	39893.80739
80	39813.97428
81	39772.18025
82	39711.12338
83	39642.2936
84	39623.64889
85	39589.5245
86	39487.04309
87	39413.65399
88	39338.72087
89	39322.41875
90	39214.57225
91	39189.22093
92	39174.20958
93	39115.01573
94	39083.20205
95	39027.38311
96	39012.50991
97	38999.66892
98	38987.74904
99	38967.4853
100	38906.40662
101	38806.50893
102	38749.56266
103	38676.53087
104	38650.81774
105	38589.32212
106	38501.39681
107	38453.96274
108	38411.89653
109	38331.95723
110	38262.90293
111	38196.65076
112	38098.27833
113	38048.25209
114	38003.1379
115	37954.91408
116	37922.88328
117	37876.91565
118	37833.65433
119	37771.24526
120	37729.82448
121	37633.02536
122	37592.10346
123	37510.10849
124	37469.81584
125	37439.82765
126	37327.63163
127	37271.34516
128	37200.24174
129	37170.89584
130	37157.32473
131	37089.9321
132	37054.49421
133	36989.32724
134	36923.7068
135	36908.37411
136	36871.384
137	36834.21802
138	36797.84719
139	36786.36163
140	36707.44314
141	36628.18087
142	36575.44351
143	36562.09566
144	36549.97926
145	36482.11019
146	36411.40777
147	36404.45542
148	36397.8697
149	36369.27291
150	36309.40382
151	36264.34811
152	36225.97715
153	36196.18222
154	36117.75618
155	36085.80278
156	36049.1846
157	36022.53817
158	36001.84921
159	35995.44808
160	35927.07814
161	35902.8154
162	35866.27424
163	35806.1546
164	35757.60982
165	35725.75939
166	35719.3805
167	35657.03289
168	35614.88815
169	35576.7263
170	35554.39789
171	35526.29543
172	35519.40186
173	35462.36341
174	35439.42337
175	35409.64633
176	35371.63139
177	35318.62352
178	35300.25058
179	35280.40142
180	35274.63796
181	35235.46826
182	35184.66675
183	35149.28645
184	35125.681
185	35098.87974
186	35089.02188
187	35074.6682
188	35044.95476
189	35025.09422
190	34979.648
191	34913.38187
192	34897.88996
193	34873.17046
194	34861.20442
195	34832.8142
196	34827.28391
197	34806.63627
198	34792.4059
199	34770.86567
200	34750.65175
201	34744.87691
202	34720.53625
203	34676.06692
204	34640.80742
205	34635.32289
206	34630.17032
207	34618.55619
208	34591.12782
209	34561.96209
210	34523.58178
211	34506.7177
212	34486.25548
213	34467.14347
214	34462.48726
215	34450.24762
216	34445.85599
217	34441.71205
218	34378.64449
219	34350.55072
220	34316.46336
221	34295.07747
222	34248.03683
223	34227.22914
224	34215.98139
225	34179.30285
226	34161.96761
227	34133.26337
228	34107.20631
229	34083.09686
230	34044.91919
231	34037.11809
232	34002.52151
233	33970.49043
234	33952.46968
235	33935.79737
236	33932.15589
237	33877.80457
238	33867.74133
239	33864.24852
240	33854.33611
241	33836.68295
242	33815.9194
243	33796.49548
244	33768.57303
245	33745.70901
246	33724.31123
247	33705.21682
248	33683.71104
249	33652.33145
250	33649.11876
251	33638.15517
252	33618.35544
253	33615.2887
254	33584.51315
255	33571.72296
256	33547.40415
257	33531.52956
258	33512.76308
259	33509.74475
260	33506.89029
261	33484.67035
262	33471.8743
263	33445.0246
264	33423.64905
265	33400.68102
266	33382.83301
267	33359.93018
268	33339.449
269	33317.24153
270	33303.31512
271	33300.62691
272	33282.40432
273	33275.12557
274	33272.60752
275	33263.20633
276	33246.47338
277	33229.38077
278	33200.66698
279	33181.04077
280	33158.69267
281	33146.98319
282	33112.10994
283	33102.43643
284	33090.81129
285	33073.29777
286	33063.66889
287	33045.92511
288	33033.91391
289	33016.0574
290	32976.86135
291	32962.70893
292	32933.8535
293	32917.27397
294	32900.84733
295	32883.86496
296	32873.56663
297	32871.52665
298	32865.03108
299	32851.00155
300	32840.96991
301	32823.74486
302	32816.70691
303	32792.15843
304	32785.59002
305	32770.2307
306	32750.52911
307	32735.55436
308	32729.49846
309	32705.94518
310	32687.50862
311	32667.18727
312	32659.36208
313	32642.62289
314	32617.96797
315	32601.62106
316	32591.303
317	32577.36552
318	32558.29551
319	32549.55566
320	32535.48739
321	32509.37308
322	32502.67932
323	32493.75993
324	32484.52487
325	32465.93856
326	32456.85102
327	32446.46286
328	32430.87039
329	32416.86372
330	32401.18559
331	32394.20469
332	32381.5639
333	32352.82645
334	32341.10474
335	32329.40016
336	32318.15242
337	32310.81535
338	32305.51889
339	32285.13641
340	32275.50113
