iter	Passed	Remaining
0	180	180588
1	192	95824
2	201	66996
3	213	53079
4	225	44806
5	236	39102
6	248	35254
7	260	32306
8	272	30059
9	284	28202
10	298	26860
11	311	25634
12	325	24716
13	338	23866
14	352	23142
15	364	22447
16	378	21910
17	393	21463
18	407	21034
19	423	20758
20	437	20401
21	450	20047
22	462	19654
23	476	19384
24	491	19183
25	505	18934
26	517	18663
27	531	18440
28	547	18323
29	559	18104
30	574	17952
31	588	17803
32	604	17714
33	621	17652
34	634	17501
35	647	17351
36	661	17205
37	672	17033
38	689	16996
39	705	16936
40	718	16806
41	732	16698
42	745	16592
43	759	16494
44	772	16400
45	787	16328
46	800	16232
47	814	16149
48	829	16098
49	844	16045
50	858	15973
51	872	15904
52	886	15840
53	901	15789
54	914	15716
55	926	15618
56	938	15524
57	952	15470
58	965	15393
59	981	15379
60	995	15329
61	1007	15247
62	1022	15201
63	1039	15197
64	1054	15163
65	1068	15124
66	1081	15059
67	1095	15015
68	1110	14978
69	1127	14982
70	1144	14973
71	1159	14944
72	1173	14904
73	1189	14882
74	1206	14874
75	1223	14870
76	1241	14887
77	1258	14874
78	1276	14887
79	1292	14861
80	1308	14840
81	1321	14793
82	1335	14755
83	1350	14731
84	1363	14679
85	1375	14619
86	1392	14610
87	1408	14596
88	1423	14568
89	1438	14540
90	1456	14546
91	1474	14549
92	1488	14516
93	1505	14505
94	1520	14480
95	1534	14450
96	1549	14421
97	1563	14390
98	1576	14351
99	1590	14311
100	1607	14306
101	1621	14279
102	1636	14249
103	1650	14221
104	1666	14202
105	1683	14198
106	1701	14200
107	1717	14182
108	1732	14162
109	1747	14141
110	1763	14121
111	1777	14093
112	1794	14086
113	1810	14070
114	1824	14041
115	1841	14035
116	1857	14016
117	1871	13991
118	1888	13983
119	1905	13975
120	1922	13964
121	1939	13955
122	1952	13923
123	1969	13916
124	1985	13901
125	2001	13883
126	2015	13853
127	2029	13828
128	2046	13816
129	2058	13776
130	2071	13741
131	2086	13719
132	2102	13704
133	2119	13697
134	2133	13672
135	2145	13630
136	2159	13601
137	2172	13572
138	2187	13547
139	2201	13520
140	2215	13500
141	2230	13476
142	2250	13485
143	2265	13467
144	2280	13447
145	2295	13429
146	2312	13419
